origin_geoid,GEOID,closest_pcs_id,closest_pcs_lat,closest_pcs_lon,closest_pcs_dist_km,closest_pcs_dist_mi,most_visited_pcs_id,most_visited_pcs_visit_pct,most_visited_pcs_lat,most_visited_pcs_lon,visit_pct_total,top_pois_at_most_visited_pcs
360010001001,360010001001,175105,42.67617,-73.73342,0.9122,0.5668,102330.0,0.0245763269243417,42.68869,-73.853254,0.3592835375879685,Crossgates Commons|Malls|0.022077; Mobil (Mobil)|Gasoline Stations with Convenience Stores|0.000899; Dave & Buster's (Dave & Buster's)|Drinking Places (Alcoholic Beverages)|0.000373
360010001002,360010001002,175102,42.676205,-73.73344,0.6641,0.4127,123113.0,0.0296544997561616,42.648002,-73.752291,0.3464193270060391,Capcity CoWorks|Lessors of Other Real Estate Property|0.000713; Capital Office Suites|Residential Property Managers|0.000713; Veracity Financial Group|None|0.000713
360010002011,360010002011,154335,42.658684,-73.75884,0.3937,0.2446,,,,,,
360010002012,360010002012,154335,42.658684,-73.75884,0.2795,0.1737,,,,,,
360010002013,360010002013,186038,42.654384,-73.752844,0.3342,0.2076,,,,,,
360010002021,360010002021,262439,42.662795,-73.758897,0.4653,0.2891,,,,,,
360010002022,360010002022,262439,42.662795,-73.758897,0.9835,0.6111,,,,,,
360010003011,360010003011,262444,42.671187,-73.775727,0.1867,0.116,,,,,,
360010003012,360010003012,146797,42.678158,-73.78155,0.3787,0.2353,,,,,,
360010003021,360010003021,195573,42.6848335,-73.8049654,0.3371,0.2095,,,,,,
360010003022,360010003022,180633,42.683434,-73.76655,0.8351,0.5189,,,,,,
360010004011,360010004011,152461,42.70535,-73.86069,0.3667,0.2279,169948.0,0.114531179243177,42.69456,-73.84844,0.492795958848629,"Crossgates Commons|Malls|0.060962; The Home Depot Rental (The Home Depot Rental)|Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing|0.011206; Walmart Vision Center (Walmart Vision Center)|Optical Goods Stores|0.007373"
