origin_geoid,GEOID,closest_pcs_id,closest_pcs_lat,closest_pcs_lon,closest_pcs_dist_km,closest_pcs_dist_mi,most_visited_pcs_id,most_visited_pcs_visit_pct,most_visited_pcs_lat,most_visited_pcs_lon,visit_pct_total,top_pois_at_most_visited_pcs
482090103092,482090103092,310600,29.981601,-97.869254,6.8872,4.2795,,,,,,
482090107021,482090107021,310600,29.981601,-97.869254,6.8426,4.2518,193059.0,0.0476135577588194,30.267694,-97.742662,0.368457459073092,Invoice Home|None|0.000269; Clark Lutz|Offices of Lawyers|0.000269; Chester Ray Atty|Offices of Lawyers|0.000269
482090108151,482090108151,162629,30.235116,-97.917332,6.5855,4.092,,,,,,
482090109051,482090109051,162648,30.025253,-97.875423,8.311,5.1642,182877.0,0.0406180651455503,30.012753,-97.866185,0.3610555750218137,Kyle Crossing|Malls|0.025682; Starbucks (Starbucks)|Snack and Nonalcoholic Beverage Bars|0.003346; United Heritage Credit Union|Credit Unions|0.002432
482090109052,482090109052,319358,30.01544,-97.86814,2.7336,1.6986,182877.0,0.050830994073876,30.012753,-97.866185,0.2997816691173194,Kyle Crossing|Malls|0.036172; Starbucks (Starbucks)|Snack and Nonalcoholic Beverage Bars|0.002522; Ross Stores (Ross Stores)|Department Stores|0.001408
482090109053,482090109053,310601,29.981622,-97.86927,1.16,0.7208,193059.0,0.0722336607557027,30.267694,-97.742662,0.4348749582923038,KitelyTech|None|0.000488; WeWork (WeWork)|Lessors of Other Real Estate Property|0.000488; General Assembly Austin|All Other Miscellaneous Schools and Instruction|0.000488
482090109091,482090109091,319358,30.01544,-97.86814,1.5406,0.9573,182877.0,0.0580519030050767,30.012753,-97.866185,0.3189228392142024,Kyle Crossing|Malls|0.040236; Starbucks (Starbucks)|Snack and Nonalcoholic Beverage Bars|0.004446; Kohl's (Kohl's)|Department Stores|0.002302
482090109092,482090109092,162648,30.025253,-97.875423,1.843,1.1452,182877.0,0.0364452734512434,30.012753,-97.866185,0.335932046263047,Kyle Crossing|Malls|0.022327; Starbucks (Starbucks)|Snack and Nonalcoholic Beverage Bars|0.003569; Ross Stores (Ross Stores)|Department Stores|0.001921
482090109093,482090109093,162648,30.025253,-97.875423,0.6935,0.4309,182877.0,0.0549725137431284,30.012753,-97.866185,0.328335832083958,Kyle Crossing|Malls|0.031654; Starbucks (Starbucks)|Snack and Nonalcoholic Beverage Bars|0.003387; Ross Stores (Ross Stores)|Department Stores|0.002234
482090109111,482090109111,307599,30.07896,-97.844463,3.8928,2.4188,,,,,,
482090109112,482090109112,307599,30.07896,-97.844463,4.3267,2.6885,,,,,,
482090109121,482090109121,162666,30.189638,-97.856428,9.7677,6.0693,,,,,,
482090109122,482090109122,307599,30.07896,-97.844463,6.7794,4.2125,,,,,,
482090109123,482090109123,307599,30.07896,-97.844463,6.4558,4.0115,,,,,,
482090109131,482090109131,236234,30.073936,-97.827848,0.9976,0.6198,,,,,,
482090109132,482090109132,162602,30.027115,-97.871109,2.8279,1.7572,,,,,,
482090109133,482090109133,307599,30.07896,-97.844463,2.064,1.2825,,,,,,
482090109141,482090109141,162648,30.025253,-97.875423,9.6616,6.0034,,,,,,
482090109142,482090109142,162648,30.025253,-97.875423,2.7495,1.7085,,,,,,
482090109151,482090109151,307599,30.07896,-97.844463,2.5419,1.5795,,,,,,
482090109152,482090109152,307599,30.07896,-97.844463,1.9125,1.1884,,,,,,
482090109161,482090109161,218226,30.015349,-97.858019,2.2267,1.3836,,,,,,
482090109162,482090109162,310600,29.981601,-97.869254,2.788,1.7324,,,,,,
482090109163,482090109163,310600,29.981601,-97.869254,5.6966,3.5397,,,,,,
482090109171,482090109171,310600,29.981601,-97.869254,2.2778,1.4153,,,,,,
482090109172,482090109172,310600,29.981601,-97.869254,4.782,2.9714,,,,,,
482090109181,482090109181,310600,29.981601,-97.869254,3.2977,2.0491,,,,,,
482090109182,482090109182,310600,29.981601,-97.869254,1.3068,0.812,,,,,,
482090109191,482090109191,218226,30.015349,-97.858019,1.8776,1.1667,,,,,,
482090109192,482090109192,218226,30.015349,-97.858019,3.9374,2.4466,,,,,,
482090109211,482090109211,218226,30.015349,-97.858019,5.2781,3.2796,,,,,,
482090109212,482090109212,218226,30.015349,-97.858019,7.6713,4.7667,,,,,,
482090109213,482090109213,218226,30.015349,-97.858019,4.4946,2.7928,,,,,,
482090109221,482090109221,236234,30.073936,-97.827848,3.5925,2.2323,,,,,,
482090109222,482090109222,236234,30.073936,-97.827848,1.4108,0.8767,,,,,,
482090109223,482090109223,236234,30.073936,-97.827848,2.9034,1.8041,,,,,,
482090109231,482090109231,236234,30.073936,-97.827848,5.309,3.2989,,,,,,
482090109232,482090109232,236234,30.073936,-97.827848,2.4911,1.5479,,,,,,
482090109241,482090109241,86090,30.0091,-97.8611,1.2746,0.792,,,,,,
482090109242,482090109242,310601,29.981622,-97.86927,0.9492,0.5898,,,,,,
482090109251,482090109251,218226,30.015349,-97.858019,0.3508,0.218,,,,,,
482090109252,482090109252,86090,30.0091,-97.8611,1.6386,1.0182,,,,,,
482090109253,482090109253,182877,30.012753,-97.866185,2.0816,1.2935,,,,,,
484530001011,484530001011,103879,30.333969,-97.751358,0.7093,0.4407,169535.0,0.0225006048549692,30.402497,-97.724726,0.2895776768192693,"The Domain (Simon mall)|Malls|0.010511; True Food Kitchen (True Food Kitchen)|Full-Service Restaurants|0.002715; Jentri Quinn Makeup Skin|Cosmetics, Beauty Supplies, and Perfume Stores|0.000565"
484530001012,484530001012,103877,30.33403,-97.751448,0.7505,0.4663,193059.0,0.0165407117110035,30.267694,-97.742662,0.2875366354867326,Big D'S Hardwood Floors|None|0.000168; CVS Pharmacy (CVS Pharmacy)|Pharmacies and Drug Stores|0.000135; Tex Air Heating & Air Conditioning|Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers|0.000135
484530001013,484530001013,180330,30.31659,-97.75761,0.6197,0.3851,193059.0,0.0408495192881319,30.267694,-97.742662,0.4055876867429023,Littlefield Building|Historical Sites|0.000509; Houndstooth Cash Buyers|Offices of Real Estate Agents and Brokers|0.000509; Debt Consolidation Austin|Investment Advice|0.000509
484530001014,484530001014,180330,30.31659,-97.75761,0.643,0.3995,,,,,,
484530001021,484530001021,103877,30.33403,-97.751448,1.7965,1.1163,162549.0,0.0196743055043843,30.308484,-97.740767,0.3256576523469162,"Central Park|Malls|0.005333; 4200 N Lamar Blvd|Malls|0.005278; Evergreen Lashes|Hair, Nail, and Skin Care Services|0.001750"
484530001022,484530001022,162793,30.3166,-97.75766,0.6512,0.4047,193059.0,0.0417082793604334,30.267694,-97.742662,0.3667223699953525,KitelyTech|None|0.000287; Auden Digital|None|0.000287; Brandastic|None|0.000287
484530002031,484530002031,162549,30.308484,-97.740767,0.271,0.1684,162549.0,0.0639790788637836,30.308484,-97.740767,0.4330913816398327,"4200 N Lamar Blvd|Malls|0.014514; Central Park|Malls|0.012334; Evergreen Lashes|Hair, Nail, and Skin Care Services|0.006875"
484530002032,484530002032,213927,30.313382,-97.734117,0.3859,0.2398,,,,,,
484530002041,484530002041,162549,30.308484,-97.740767,0.9333,0.5799,193059.0,0.0932790095382477,30.267694,-97.742662,0.4009032910113069,KitelyTech|None|0.000531; WeWork (WeWork)|Lessors of Other Real Estate Property|0.000531; General Assembly Austin|All Other Miscellaneous Schools and Instruction|0.000531
484530002042,484530002042,162549,30.308484,-97.740767,0.7388,0.4591,224703.0,0.0534940030407117,30.30518,-97.765894,0.3617320795089813,Casis Extend A Care|Child Day Care Services|0.012951; Casis Child Development Center|Child Day Care Services|0.012951; Casis El|Elementary and Secondary Schools|0.012951
