origin_geoid,GEOID,closest_pcs_id,closest_pcs_lat,closest_pcs_lon,closest_pcs_dist_km,closest_pcs_dist_mi,most_visited_pcs_id,most_visited_pcs_visit_pct,most_visited_pcs_lat,most_visited_pcs_lon,visit_pct_total,top_pois_at_most_visited_pcs
80010078011,80010078011,309047,39.7509512,-104.8781686,1.1916,0.7404,204642.0,0.0124697287967782,39.719419,-104.954816,0.1997029742711497,Headphone Store|Electronics Stores|0.000595; Cafe Bistro|Full-Service Restaurants|0.000314; Costa Coffee (Costa Coffee)|Snack and Nonalcoholic Beverage Bars|0.000314
80010078012,80010078012,309047,39.7509512,-104.8781686,1.0072,0.6259,309047.0,0.0208655968895186,39.7509512,-104.8781686,0.2087259876766944,Sugar Plum Bazaar|None|0.000498; MediaJel|None|0.000498; Logan House Coffee Company Aurora|Snack and Nonalcoholic Beverage Bars|0.000498
80010078021,80010078021,309906,39.7548612,-104.8509185,1.675,1.0408,309047.0,0.0165882664723225,39.7509512,-104.8781686,0.188326100639348,Logan House Coffee Company Aurora|Snack and Nonalcoholic Beverage Bars|0.000439; Bounce Stapleton|Child Day Care Services|0.000439; Kinesis Pilates|Fitness and Recreational Sports Centers|0.000439
80010078022,80010078022,310407,39.7452576,-104.8427485,0.6741,0.4188,228755.0,0.0107894188710685,39.7403036,-104.812581,0.1735471776713184,Bradley Petroleum (Bradley Petroleum)|Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)|0.000858; Kids Choice Dental|Offices of Dentists|0.000600; King Soopers (King Soopers)|Supermarkets and Other Grocery (except Convenience) Stores|0.000567
80010078023,80010078023,310407,39.7452576,-104.8427485,1.033,0.6419,212409.0,0.0232372180849526,39.563809594,-104.875729023,0.178074933284521,Park Meadows|Malls|0.001859; Cali & Mo|None|0.000356; Makers Market|None|0.000356
80010079001,80010079001,309047,39.7509512,-104.8781686,0.6996,0.4347,309047.0,0.0238329463922664,39.7509512,-104.8781686,0.1904012382114141,Logan House Coffee Company Aurora|Snack and Nonalcoholic Beverage Bars|0.000643; Bounce Stapleton|Child Day Care Services|0.000643; Kinesis Pilates|Fitness and Recreational Sports Centers|0.000643
80010079002,80010079002,309047,39.7509512,-104.8781686,0.0961,0.0597,309047.0,0.1964147406467834,39.7509512,-104.8781686,0.4188153153658783,Logan House Coffee Company Aurora|Snack and Nonalcoholic Beverage Bars|0.004894; Bounce Stapleton|Child Day Care Services|0.004894; Kinesis Pilates|Fitness and Recreational Sports Centers|0.004894
80010079003,80010079003,309047,39.7509512,-104.8781686,0.9226,0.5733,309047.0,0.0168347430058555,39.7509512,-104.8781686,0.176134515289525,MF Auto Repair & Transmissions|None|0.001728; MF Auto Repair & Transmissions|None|0.001728; MediaJel|None|0.000407
80010079004,80010079004,309047,39.7509512,-104.8781686,0.6031,0.3747,190426.0,0.0071887957483408,39.77068,-104.89856,0.1584295048716928,Sam's Club Fuel Center (Sam's Club Fuel Center)|Gasoline Stations with Convenience Stores|0.001438; Walmart Supercenter (Walmart)|Warehouse Clubs and Supercenters|0.000822; Walmart Photo Center (Walmart Photo Center)|Photofinishing Laboratories (except One-Hour)|0.000687
80010080001,80010080001,309906,39.7548612,-104.8509185,0.3639,0.2261,309047.0,0.0205478467179524,39.7509512,-104.8781686,0.2135308073908979,Logan House Coffee Company Aurora|Snack and Nonalcoholic Beverage Bars|0.000561; Bounce Stapleton|Child Day Care Services|0.000561; Kinesis Pilates|Fitness and Recreational Sports Centers|0.000561
80010080002,80010080002,310407,39.7452576,-104.8427485,0.7019,0.4362,212409.0,0.020135456708768,39.563809594,-104.875729023,0.2084827341150628,"Park Meadows|Malls|0.001518; MAC Cosmetics (MAC Cosmetics)|Cosmetics, Beauty Supplies, and Perfume Stores|0.000345; Chick-fil-A (Chick-fil-A)|Limited-Service Restaurants|0.000291"
80010080003,80010080003,309906,39.7548612,-104.8509185,1.0619,0.6598,309047.0,0.0298435426135221,39.7509512,-104.8781686,0.1619541755486734,MediaJel|None|0.000791; Logan House Coffee Company Aurora|Snack and Nonalcoholic Beverage Bars|0.000791; Bounce Stapleton|Child Day Care Services|0.000791
80010080004,80010080004,309906,39.7548612,-104.8509185,0.6604,0.4104,308936.0,0.0247056475753342,39.7174108,-104.9465058,0.1832169227699062,Best Heat and Cool Air Denver|Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers|0.000359; Madison Street Surgery Center|General Medical and Surgical Hospitals|0.000359; Lifestance Health (Lifestance Health)|Offices of Mental Health Practitioners (except Physicians)|0.000359
80010080005,80010080005,228632,39.7590284,-104.8663368,0.8892,0.5526,156608.0,0.0156764739293422,39.747112,-104.989279,0.1996364875610587,Denver Therapy Lounge|Fitness and Recreational Sports Centers|0.000114; Meps Denver|None|0.000114; D Gray Tax & Bookkeeping Service|None|0.000114
80010080006,80010080006,228632,39.7590284,-104.8663368,1.4207,0.8828,204479.0,0.0283040464439092,39.7436886,-104.9893148,0.2783521202853297,"Pepper Palace (Pepper Palace)|All Other Specialty Food Stores|0.000357; The Hat Collection|None|0.000357; Antoine Du Chez Salons and Spas|Hair, Nail, and Skin Care Services|0.000357"
80010081001,80010081001,82409,39.744143,-104.834091,0.3986,0.2477,212409.0,0.0658824867456387,39.563809594,-104.875729023,0.449235358961348,Park Meadows|Malls|0.001389; Cali & Mo|None|0.000956; Makers Market|None|0.000956
80010082001,80010082001,311704,39.7641004,-104.83317,1.1172,0.6942,228755.0,0.0287182233528023,39.7403036,-104.812581,0.1797734004987197,Tacos Y Machetes La Carpa|Full-Service Restaurants|0.001648; Vasa Fitness (Vasa Fitness)|Fitness and Recreational Sports Centers|0.001648; La Esquina Del Sabor|Full-Service Restaurants|0.001648
80010082002,80010082002,311704,39.7641004,-104.83317,0.7746,0.4813,212409.0,0.0438655057767715,39.563809594,-104.875729023,0.2364765251930956,Park Meadows|Malls|0.001410; Cali & Mo|None|0.000641; Makers Market|None|0.000641
80010082003,80010082003,311704,39.7641004,-104.83317,0.9407,0.5845,212409.0,0.0354052098408104,39.563809594,-104.875729023,0.2154558610709117,Park Meadows|Malls|0.001968; Cali & Mo|None|0.000470; Makers Market|None|0.000470
80010083081,80010083081,113565,39.771872,-104.80692,1.3825,0.859,228755.0,0.0209546644582175,39.7403036,-104.812581,0.2232949081000213,Bradley Petroleum (Bradley Petroleum)|Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)|0.001409; Tacos Y Machetes La Carpa|Full-Service Restaurants|0.001339; Life Tree Juices|Snack and Nonalcoholic Beverage Bars|0.001339
80010083082,80010083082,228755,39.7403036,-104.812581,0.4285,0.2662,228755.0,0.0542459513358319,39.7403036,-104.812581,0.1650582505065842,Bradley Petroleum (Bradley Petroleum)|Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)|0.003919; Starbucks (Starbucks)|Snack and Nonalcoholic Beverage Bars|0.003251; Kids Choice Dental|Offices of Dentists|0.002481
80010083083,80010083083,181221,39.748019,-104.832509,0.8952,0.5563,228755.0,0.0323448123965356,39.7403036,-104.812581,0.1922180619400493,Bradley Petroleum (Bradley Petroleum)|Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)|0.002760; Kids Choice Dental|Offices of Dentists|0.001620; King Soopers (King Soopers)|Supermarkets and Other Grocery (except Convenience) Stores|0.001396
