origin_geoid,GEOID,closest_pcs_id,closest_pcs_lat,closest_pcs_lon,closest_pcs_dist_km,closest_pcs_dist_mi,most_visited_pcs_id,most_visited_pcs_visit_pct,most_visited_pcs_lat,most_visited_pcs_lon,visit_pct_total,top_pois_at_most_visited_pcs
200910500001,200910500001,105001,39.036762,-94.637976,1.1064,0.6875,114561.0,0.0581434058898847,39.039884,-94.591361,0.3765556978233034,Reese Group Compass Realty Group|Offices of Real Estate Agents and Brokers|0.002138; Regus (Regus)|Lessors of Other Real Estate Property|0.000807; Trish Reedy Trusted Lending Center|Mortgage and Nonmortgage Loan Brokers|0.000807
200910500002,200910500002,172925,39.043249,-94.611264,0.4934,0.3066,259745.0,0.0593055099134625,39.053616,-94.590355,0.3336619564026728,The Port KC Fitness and Performance|Fitness and Recreational Sports Centers|0.006266; World Faiths Center For Religious Experience And Study Incorporated|Religious Organizations|0.006003; Women Owned Restaurants|Full-Service Restaurants|0.003242
200910500003,200910500003,173749,39.0351,-94.608249,0.4451,0.2766,114561.0,0.0411674945618648,39.039884,-94.591361,0.3512710626278367,Reese Group Compass Realty Group|Offices of Real Estate Agents and Brokers|0.003036; Regus (Regus)|Lessors of Other Real Estate Property|0.000666; Trish Reedy Trusted Lending Center|Mortgage and Nonmortgage Loan Brokers|0.000666
200910500004,200910500004,117466,39.034423,-94.609667,0.6274,0.3898,114561.0,0.0775919732441471,39.039884,-94.591361,0.3896321070234114,Reese Group Compass Realty Group|Offices of Real Estate Agents and Brokers|0.002980; Regus (Regus)|Lessors of Other Real Estate Property|0.001338; Trish Reedy Trusted Lending Center|Mortgage and Nonmortgage Loan Brokers|0.001338
200910500005,200910500005,105001,39.036762,-94.637976,1.0842,0.6737,114561.0,0.0239345611190435,39.039884,-94.591361,0.2782846494518525,Reese Group Compass Realty Group|Offices of Real Estate Agents and Brokers|0.000968; Halls|None|0.000436; Kansas City Casino Rentals|All Other Consumer Goods Rental|0.000436
200910500006,200910500006,117466,39.034423,-94.609667,0.8365,0.5198,114561.0,0.0528826819727269,39.039884,-94.591361,0.3964830183160896,Reese Group Compass Realty Group|Offices of Real Estate Agents and Brokers|0.004460; Tumi (Tumi)|Luggage and Leather Goods Stores|0.001261; LAZ Parking Garage|Parking Lots and Garages|0.001024
200910501001,200910501001,105001,39.036762,-94.637976,0.724,0.4499,105001.0,0.0259172777299851,39.036762,-94.637976,0.308767905179359,QuikTrip (QuikTrip)|Gasoline Stations with Convenience Stores|0.017560; McDonald's (McDonald's)|Limited-Service Restaurants|0.002431; Granada|Nature Parks and Other Similar Institutions|0.001304
200910501002,200910501002,105001,39.036762,-94.637976,0.3537,0.2198,105001.0,0.074078615470852,39.036762,-94.637976,0.3346237387892377,QuikTrip (QuikTrip)|Gasoline Stations with Convenience Stores|0.052778; Granada|Nature Parks and Other Similar Institutions|0.004922; Scenic Road Kansas City|Motion Picture and Video Production|0.004029
200910501003,200910501003,105001,39.036762,-94.637976,0.671,0.4169,228663.0,0.0527552610038813,38.95441,-94.72149,0.2769255142185726,Oak Park Crossing East & West|Malls|0.005386; The Culture House Stage And Studio|None|0.004066; Oak Park Mall|Malls|0.003142
200910501004,200910501004,105001,39.036762,-94.637976,0.6079,0.3777,114561.0,0.024390243902439,39.039884,-94.591361,0.3712705449672848,Reese Group Compass Realty Group|Offices of Real Estate Agents and Brokers|0.001796; Madewell (Madewell)|Women's Clothing Stores|0.000584; Ambiance On The Water|Boat Dealers|0.000485
200910502001,200910502001,172185,39.022953,-94.649654,0.7402,0.4599,172976.0,0.0312952005259697,39.099382,-94.583969,0.4820658923223025,RubinBrown|Other Accounting Services|0.000716; Cadet Air Corps Museum|Museums|0.000701; WeWork (WeWork)|Lessors of Other Real Estate Property|0.000701
200910502002,200910502002,171745,39.022807,-94.65315,0.4429,0.2752,80265.0,0.0257065032345931,39.019948,-94.662804,0.4169858699353081,McDonald's (McDonald's)|Limited-Service Restaurants|0.006278; Planet Fitness (Planet Fitness)|Fitness and Recreational Sports Centers|0.005831; Dollar Tree (Dollar Tree)|All Other General Merchandise Stores|0.004788
200910502003,200910502003,171745,39.022807,-94.65315,1.1514,0.7154,172350.0,0.0186844560024874,39.019902,-94.662799,0.3566158803742544,Target (Target)|Warehouse Clubs and Supercenters|0.003258; Caribou Coffee (Caribou Coffee)|Snack and Nonalcoholic Beverage Bars|0.002643; Hy-Vee (Hy-Vee)|Supermarkets and Other Grocery (except Convenience) Stores|0.002509
200910502004,200910502004,105001,39.036762,-94.637976,1.3872,0.862,80265.0,0.0151951710261569,39.019948,-94.662804,0.2887565392354124,Planet Fitness (Planet Fitness)|Fitness and Recreational Sports Centers|0.002978; McDonald's (McDonald's)|Limited-Service Restaurants|0.002672; Dollar Tree (Dollar Tree)|All Other General Merchandise Stores|0.002431
200910503011,200910503011,80246,39.023411,-94.658695,0.5576,0.3465,172350.0,0.0208306269820043,39.019902,-94.662799,0.3318152294349138,Caribou Coffee (Caribou Coffee)|Snack and Nonalcoholic Beverage Bars|0.003202; Hy-Vee (Hy-Vee)|Supermarkets and Other Grocery (except Convenience) Stores|0.002911; Saint Luke's Health System (Saint Luke's Health System)|Offices of Physicians (except Mental Health Specialists)|0.002911
200910503012,200910503012,80246,39.023411,-94.658695,1.1931,0.7414,172685.0,0.0262306434089091,39.023311,-94.658691,0.3292859104313669,Starbucks (Starbucks)|Snack and Nonalcoholic Beverage Bars|0.015497; CVS (CVS)|Pharmacies and Drug Stores|0.002304; Taco Bell (Taco Bell)|Limited-Service Restaurants|0.001934
200910503013,200910503013,80246,39.023411,-94.658695,1.8339,1.1395,114561.0,0.0230721363266478,39.039884,-94.591361,0.3048920587812934,Reese Group Compass Realty Group|Offices of Real Estate Agents and Brokers|0.001352; Industrious Office (Industrious Office)|Lessors of Other Real Estate Property|0.000730; Compass (Compass)|Offices of Real Estate Agents and Brokers|0.000730
200910503014,200910503014,80246,39.023411,-94.658695,1.8316,1.1381,,,,,,
200910503021,200910503021,74106,39.022852,-94.649653,0.1782,0.1107,171744.0,0.0560650713191088,39.022708,-94.653149,0.4321820110809855,Eye Care for Animals (Eye Care for Animals)|Veterinary Services|0.008334; Mission Veterinary Emergency & Specialty|Veterinary Services|0.008334; High Vibe Bride by Janay A Eco Bridal|None|0.002570
200910503022,200910503022,144357,39.019143,-94.660094,0.119,0.0739,80265.0,0.0704199574833523,39.019948,-94.662804,0.3555630640143036,Planet Fitness (Planet Fitness)|Fitness and Recreational Sports Centers|0.018583; Fashion Care Cleaners|Drycleaning and Laundry Services (except Coin-Operated)|0.015782; McDonald's (McDonald's)|Limited-Service Restaurants|0.013304
200910504001,200910504001,323053,39.018965,-94.6886,1.9533,1.2137,63413.0,0.020960024695169,39.015091,-94.68219,0.314289242167001,"Superior Automotive Group|None|0.007736; Hendrick Collision Center (Hendrick Collision Center)|Automotive Body, Paint, and Interior Repair and Maintenance|0.007736; HENDRICK CHEVROLET SHAWNEE MISSION (Chevrolet)|New Car Dealers|0.004618"
200910504002,200910504002,172350,39.019902,-94.662799,0.8367,0.5199,228663.0,0.0222647738527566,38.95441,-94.72149,0.2888874215912843,Oak Park Crossing East & West|Malls|0.005375; Oak Park Mall|Malls|0.004279; Oak Park Mall|Malls|0.004279
200910504003,200910504003,323053,39.018965,-94.6886,0.5095,0.3166,172070.0,0.0212833133185618,39.046631,-94.591656,0.2932756005840931,McKinley Lois J|Offices of Physicians (except Mental Health Specialists)|0.000226; Brad Steinle MD|Offices of Physicians (except Mental Health Specialists)|0.000175; Saint Luke's Neurological & Spine Surgery Kansas City|Specialty (except Psychiatric and Substance Abuse) Hospitals|0.000175
200910504004,200910504004,80265,39.019948,-94.662804,1.0511,0.6531,,,,,,
200910505001,200910505001,105167,39.010584,-94.682117,0.7934,0.493,172350.0,0.0346133976235577,39.019902,-94.662799,0.3612450490786981,Caribou Coffee (Caribou Coffee)|Snack and Nonalcoholic Beverage Bars|0.005209; Hy-Vee (Hy-Vee)|Supermarkets and Other Grocery (except Convenience) Stores|0.004994; Saint Luke's Health System (Saint Luke's Health System)|Offices of Physicians (except Mental Health Specialists)|0.004994
200910505002,200910505002,172842,39.001259,-94.680697,1.0816,0.6721,172070.0,0.044581983463082,39.046631,-94.591656,0.3120255306803346,Brad Steinle MD|Offices of Physicians (except Mental Health Specialists)|0.000435; Saint Luke's Neurological & Spine Surgery Kansas City|Specialty (except Psychiatric and Substance Abuse) Hospitals|0.000435; Stefan Eichenauer MD|Offices of Physicians (except Mental Health Specialists)|0.000435
200910505003,200910505003,105167,39.010584,-94.682117,0.448,0.2783,114561.0,0.0531200282835425,39.039884,-94.591361,0.3184373342761181,Regus (Regus)|Lessors of Other Real Estate Property|0.000884; A & D Data Recovery|Consumer Electronics Repair and Maintenance|0.000884; Kentner Wyatt Attorneys at Law|Courts|0.000884
200910506001,200910506001,80285,39.012659,-94.658598,0.6714,0.4172,80265.0,0.0172021585720215,39.019948,-94.662804,0.3051888750518887,Planet Fitness (Planet Fitness)|Fitness and Recreational Sports Centers|0.005363; Fashion Care Cleaners|Drycleaning and Laundry Services (except Coin-Operated)|0.005031; Dollar Tree (Dollar Tree)|All Other General Merchandise Stores|0.003387
200910506002,200910506002,80250,39.014923,-94.650332,0.479,0.2976,143126.0,0.0247122928395396,38.978823,-94.632504,0.3081010196929616,Corinth Quarter|Malls|0.010400; Hen House (Hen House)|Supermarkets and Other Grocery (except Convenience) Stores|0.002012; Hen House (Hen House)|Supermarkets and Other Grocery (except Convenience) Stores|0.002012
200910506003,200910506003,194939,38.9865,-94.66747,1.203,0.7475,114561.0,0.0240952924097884,39.039884,-94.591361,0.3109835130651182,Reese Group Compass Realty Group|Offices of Real Estate Agents and Brokers|0.001750; The Melting Pot Restaurant (The Melting Pot Restaurant)|Full-Service Restaurants|0.000609; Regus (Regus)|Lessors of Other Real Estate Property|0.000454
200910506004,200910506004,80285,39.012659,-94.658598,1.0075,0.6261,228663.0,0.0170559065824202,38.95441,-94.72149,0.3025673838278813,Oak Park Mall|Malls|0.003679; Oak Park Mall|Malls|0.003679; Oakley (Oakley)|Optical Goods Stores|0.003679
200910506005,200910506005,80285,39.012659,-94.658598,1.8203,1.1311,114561.0,0.0310545509513821,39.039884,-94.591361,0.2816261360845001,Reese Group Compass Realty Group|Offices of Real Estate Agents and Brokers|0.000954; Madewell (Madewell)|Women's Clothing Stores|0.000453; Regus (Regus)|Lessors of Other Real Estate Property|0.000406
200910507001,200910507001,105001,39.036762,-94.637976,1.388,0.8625,172070.0,0.0500840812853293,39.046631,-94.591656,0.4276799643414308,Pomeroy Brandon D MD|Offices of Physicians (except Mental Health Specialists)|0.000689; Rhonda L Johnson PhD|Offices of Mental Health Practitioners (except Physicians)|0.000689; Diana S Dark MD|Offices of Physicians (except Mental Health Specialists)|0.000689
200910507002,200910507002,74106,39.022852,-94.649653,1.4482,0.8999,143692.0,0.0283391793329992,39.000603,-94.632152,0.3151828962752631,"The Shops Of Prairie Village|Malls|0.025333; RSVP In The Village|Gift, Novelty, and Souvenir Stores|0.000946; Goodcents Deli Fresh Subs (Goodcents Deli Fresh Subs)|Limited-Service Restaurants|0.000696"
200910507003,200910507003,143260,39.000597,-94.632276,1.0409,0.6468,143692.0,0.0557257536041939,39.000603,-94.632152,0.3615498034076015,The Shops Of Prairie Village|Malls|0.042382; Golden & Pine|Furniture Stores|0.002212; Caffetteria Modern Cafe & Marketplace|Full-Service Restaurants|0.001614
200910507004,200910507004,172351,39.01493,-94.650267,0.7892,0.4904,143692.0,0.0622257229661303,39.000603,-94.632152,0.3458084843029144,The Shops Of Prairie Village|Malls|0.045347; Goodcents Deli Fresh Subs (Goodcents Deli Fresh Subs)|Limited-Service Restaurants|0.002566; Golden & Pine|Furniture Stores|0.001935
200910507005,200910507005,172351,39.01493,-94.650267,0.7364,0.4575,172930.0,0.0325641393148917,38.904299,-94.670343,0.3309731976494195,Saint Luke's South Hospital|General Medical and Surgical Hospitals|0.000602; Saint Luke's Health System (Saint Luke's Health System)|Offices of Physicians (except Mental Health Specialists)|0.000516; Frank Feigenbaum MD|Offices of Physicians (except Mental Health Specialists)|0.000516
200910508001,200910508001,117466,39.034423,-94.609667,1.5549,0.9662,172070.0,0.1197469035389955,39.046631,-94.591656,0.4637838945602193,John A Spertus MD|Offices of Physicians (except Mental Health Specialists)|0.001511; Persson Mark DDS|Offices of Dentists|0.001422; Saint Luke's Health System (Saint Luke's Health System)|Offices of Physicians (except Mental Health Specialists)|0.001422
200910508002,200910508002,117466,39.034423,-94.609667,1.9081,1.1857,114561.0,0.06307980409104,39.039884,-94.591361,0.3536228752520887,Reese Group Compass Realty Group|Offices of Real Estate Agents and Brokers|0.002499; Industrious Office (Industrious Office)|Lessors of Other Real Estate Property|0.000900; Plaza Lights|Historical Sites|0.000900
200910508003,200910508003,143692,39.000603,-94.632152,1.4381,0.8936,143692.0,0.0943522252183163,39.000603,-94.632152,0.3546990574672835,The Shops Of Prairie Village|Malls|0.065260; Story|Full-Service Restaurants|0.005393; Praxis Wellness|Other Personal Care Services|0.003414
200910509001,200910509001,259754,39.004215,-94.60362,1.1125,0.6913,143692.0,0.0548124437798623,39.000603,-94.632152,0.4066541278723379,The Shops Of Prairie Village|Malls|0.027803; Goodcents Deli Fresh Subs (Goodcents Deli Fresh Subs)|Limited-Service Restaurants|0.004135; Bijin Salon Day Spa|Beauty Salons|0.003364
