origin_geoid,GEOID,closest_pcs_id,closest_pcs_lat,closest_pcs_lon,closest_pcs_dist_km,closest_pcs_dist_mi,most_visited_pcs_id,most_visited_pcs_visit_pct,most_visited_pcs_lat,most_visited_pcs_lon,visit_pct_total,top_pois_at_most_visited_pcs
120110101021,120110101021,206454,26.30199,-80.09195,0.4186,0.2601,148969.0,0.0390553357757685,26.3659037,-80.1343444,0.2537932317670098,Wireless Gear|Wireless Telecommunications Carriers (except Satellite)|0.000851; Robert Graham (Robert Graham)|Family Clothing Stores|0.000851; Fast-Fix (Fast-Fix)|Other Electronic and Precision Equipment Repair and Maintenance|0.000815
120110101022,120110101022,206454,26.30199,-80.09195,0.8631,0.5363,148969.0,0.0329138532571904,26.3659037,-80.1343444,0.2688722639773677,Wireless Gear|Wireless Telecommunications Carriers (except Satellite)|0.000767; Robert Graham (Robert Graham)|Family Clothing Stores|0.000760; WoodLover|Electronics Stores|0.000691
120110101031,120110101031,229229,26.315919,-80.078166,0.9614,0.5974,148969.0,0.0315504605661265,26.3659037,-80.1343444,0.2244545485107187,PacSun (PacSun)|Family Clothing Stores|0.000538; Macy's (Macy's)|Department Stores|0.000521; Amazing Flowers Boca Raton|Florists|0.000504
120110101032,120110101032,229229,26.315919,-80.078166,0.8266,0.5136,148969.0,0.0554854695729407,26.3659037,-80.1343444,0.2450457381751164,Everything but Water (Everything but Water)|Other Clothing Stores|0.000883; Fast-Fix (Fast-Fix)|Other Electronic and Precision Equipment Repair and Maintenance|0.000877; Wireless Gear|Wireless Telecommunications Carriers (except Satellite)|0.000877
120110101033,120110101033,206454,26.30199,-80.09195,0.9572,0.5948,148969.0,0.0982541002191822,26.3659037,-80.1343444,0.3143782375888783,Amazing Flowers Boca Raton|Florists|0.001587; iFixandRepair (iFixandRepair)|Consumer Electronics Repair and Maintenance|0.001587; Edward Beiner|Offices of Optometrists|0.001576
120110101041,120110101041,113687,26.316072,-80.075809,0.0536,0.0333,148969.0,0.0442712711702926,26.3659037,-80.1343444,0.304204916103429,Fast-Fix (Fast-Fix)|Other Electronic and Precision Equipment Repair and Maintenance|0.000771; Wireless Gear|Wireless Telecommunications Carriers (except Satellite)|0.000771; Everything but Water (Everything but Water)|Other Clothing Stores|0.000768
120110101042,120110101042,220426,26.312565,-80.076187,0.3626,0.2253,148969.0,0.0434459680052236,26.3659037,-80.1343444,0.2830476656872383,Amazing Flowers Boca Raton|Florists|0.000755; iFixandRepair (iFixandRepair)|Consumer Electronics Repair and Maintenance|0.000755; Edward Beiner|Offices of Optometrists|0.000755
120110102011,120110102011,206454,26.30199,-80.09195,0.3552,0.2207,,,,,,
120110102012,120110102012,206454,26.30199,-80.09195,1.091,0.6779,,,,,,
120110102013,120110102013,206454,26.30199,-80.09195,0.8642,0.537,,,,,,
