origin_geoid,GEOID,closest_pcs_id,closest_pcs_lat,closest_pcs_lon,closest_pcs_dist_km,closest_pcs_dist_mi,most_visited_pcs_id,most_visited_pcs_visit_pct,most_visited_pcs_lat,most_visited_pcs_lon,visit_pct_total,top_pois_at_most_visited_pcs
90010101011,90010101011,223132,41.0391,-73.72556,6.9498,4.3184,309916.0,0.0589097694255631,40.905429,-73.812836,0.4952685592429687,"Nicholas Day Spa & Salon|Hair, Nail, and Skin Care Services|0.017593; Compass (Compass)|Offices of Real Estate Agents and Brokers|0.017593; Blue Dog Wine & Spirits|Beer, Wine, and Liquor Stores|0.005864"
90010101013,90010101013,240745,41.11444,-73.7715,4.6295,2.8766,115096.0,0.0697203080664776,40.747478,-73.98504,0.4656320574439814,"Mind Trixx Entertainment|Promoters of Performing Arts, Sports, and Similar Events with Facilities|0.000232; United Hospital Fund|General Medical and Surgical Hospitals|0.000232; PeriCor Therapeutic|Offices of Physical, Occupational and Speech Therapists, and Audiologists|0.000232"
90010101015,90010101015,223132,41.0391,-73.72556,6.052,3.7606,,,,,,
90010113001,90010113001,223219,40.94657,-73.69086,6.7143,4.1721,250866.0,0.049160948042212,40.766545,-73.95292,0.5794360186840566,The Society Of The NY Hospital|General Medical and Surgical Hospitals|0.001326; New York Presbyterian Hospital New York Weill Cornell Medical Ce|General Medical and Surgical Hospitals|0.001326; New York Presbyterian Hospital|General Medical and Surgical Hospitals|0.001298
340030010011,340030010011,45700,41.053216,-74.120288,1.7026,1.0579,,,,,,
340030010012,340030010012,45700,41.053216,-74.120288,2.7862,1.7313,,,,,,
340030010013,340030010013,45700,41.053216,-74.120288,1.4577,0.9058,,,,,,
340030010021,340030010021,45700,41.053216,-74.120288,2.8388,1.7639,,,,,,
340030010022,340030010022,45700,41.053216,-74.120288,3.4862,2.1662,,,,,,
340030021001,340030021001,182334,40.934688,-73.957218,2.0658,1.2836,114996.0,0.0983673083658068,40.750013,-73.978525,0.5700356334810469,Musicmaker|Sound Recording Studios|0.000239; MassMututal (MassMututal)|Direct Life Insurance Carriers|0.000239; Brian Loxley|Language Schools|0.000239
340030021002,340030021002,258971,40.972128,-73.889165,2.5192,1.5653,123040.0,0.0940751373558383,40.758305,-73.980311,0.5560461317626183,Pacicco Michael Jeweler|Jewelry Stores|0.000208; Summit I Jewelry|Jewelry Stores|0.000208; To Sell Jewelry|Jewelry Stores|0.000208
340030022001,340030022001,212674,41.007947,-73.931577,1.6921,1.0514,92241.0,0.047780174860906,40.969269,-73.955252,0.2402785662919668,Closter Plaza|Malls|0.007191; Closter Furs & Fashions|None|0.001400; Bergen Academy|Exam Preparation and Tutoring|0.001400
340030022002,340030022002,212674,41.007947,-73.931577,0.6442,0.4003,279322.0,0.0149568073106304,40.90456,-74.03008,0.208203041336472,"The Fountain Spa|Hair, Nail, and Skin Care Services|0.000571; Ann Taylor Shops At Riverside (Ann Taylor)|Women's Clothing Stores|0.000571; CH by Carolina Herrera (CH by Carolina Herrera)|Family Clothing Stores|0.000571"
340030022003,340030022003,212674,41.007947,-73.931577,1.6851,1.0471,164013.0,0.0670681512932715,40.956476125,-74.068844375,0.3272966220412145,Thomas Kinkade Gallery|Art Dealers|0.001314; Paramus Park|Malls|0.001314; Aéropostale (Aéropostale)|Family Clothing Stores|0.001199
340030022004,340030022004,212674,41.007947,-73.931577,2.3968,1.4893,307818.0,0.0295149860829108,40.907703,-74.030779,0.1910338985329914,Hackensack Commons|Malls|0.001842; The Shops At Riverside (Simon mall)|Malls|0.001748; Bally boutiques (Bally boutiques)|Shoe Stores|0.001049
340030023001,340030023001,212674,41.007947,-73.931577,2.7666,1.7191,92241.0,0.0485265146946488,40.969269,-73.955252,0.3496607209066541,Closter Plaza|Malls|0.012923; Whole Foods Market (Whole Foods Market)|Supermarkets and Other Grocery (except Convenience) Stores|0.003261; Closter Pizza|Full-Service Restaurants|0.001086
340030023002,340030023002,212674,41.007947,-73.931577,2.2853,1.42,92241.0,0.0345286037829189,40.969269,-73.955252,0.2900727365483709,Closter Plaza|Malls|0.013836; Whole Foods Market (Whole Foods Market)|Supermarkets and Other Grocery (except Convenience) Stores|0.001631; Closter Golf Snack Bar|Snack and Nonalcoholic Beverage Bars|0.001159
340030023003,340030023003,195436,40.9702811,-73.9581533,2.6444,1.6431,92241.0,0.0449698490313199,40.969269,-73.955252,0.2967660769526887,Closter Plaza|Malls|0.011048; Whole Foods Market (Whole Foods Market)|Supermarkets and Other Grocery (except Convenience) Stores|0.001336; Closter Furs & Fashions|None|0.000994
340030031001,340030031001,221798,40.937027107,-73.995968232,1.1101,0.6898,221798.0,0.0442946439514646,40.937027107,-73.995968232,0.3093761490378715,Washington Commons|Malls|0.014193; Fred Triplett Park|Nature Parks and Other Similar Institutions|0.006864; Minit Mart Convenience Store Deli & Grill|Convenience Stores|0.006006
340030031002,340030031002,221798,40.937027107,-73.995968232,0.6934,0.4309,307818.0,0.0648647403106134,40.907703,-74.030779,0.3213051292686297,Hackensack Commons|Malls|0.021568; The Shops At Riverside (Simon mall)|Malls|0.006705; Wentworth Gallery In|Art Dealers|0.002996
340030031003,340030031003,221798,40.937027107,-73.995968232,1.0981,0.6823,307818.0,0.0496182038760717,40.907703,-74.030779,0.3172323094332699,Hackensack Commons|Malls|0.014385; The Shops At Riverside (Simon mall)|Malls|0.004384; Wentworth Gallery In|Art Dealers|0.002141
340030031004,340030031004,45662,40.917338,-73.997447,1.0849,0.6741,307818.0,0.063476333759752,40.907703,-74.030779,0.2930577827426547,The Shops At Riverside (Simon mall)|Malls|0.005513; Hackensack Commons|Malls|0.004126; Wentworth Gallery In|Art Dealers|0.003495
340030031005,340030031005,45662,40.917338,-73.997447,1.3622,0.8464,307818.0,0.06478256987231,40.907703,-74.030779,0.3234961454891794,Hackensack Commons|Malls|0.012888; The Shops At Riverside (Simon mall)|Malls|0.009093; Wentworth Gallery In|Art Dealers|0.004256
340030032001,340030032001,221798,40.937027107,-73.995968232,0.3989,0.2479,221798.0,0.0504857967331162,40.937027107,-73.995968232,0.2910015090143749,Washington Commons|Malls|0.019352; Fred Triplett Park|Nature Parks and Other Similar Institutions|0.007069; Minit Mart Convenience Store Deli & Grill|Convenience Stores|0.003018
340030032002,340030032002,221798,40.937027107,-73.995968232,0.8387,0.5212,307818.0,0.0481378763866878,40.907703,-74.030779,0.2779318541996832,Hackensack Commons|Malls|0.010677; The Shops At Riverside (Simon mall)|Malls|0.005646; Wentworth Gallery In|Art Dealers|0.002555
340030032003,340030032003,45662,40.917338,-73.997447,0.9474,0.5887,221798.0,0.0219636956226517,40.937027107,-73.995968232,0.2303472002172827,Fred Triplett Park|Nature Parks and Other Similar Institutions|0.004237; Washington Commons|Malls|0.002553; Minit Mart Convenience Store Deli & Grill|Convenience Stores|0.001720
340030032004,340030032004,45662,40.917338,-73.997447,0.1026,0.0638,45662.0,0.0753013407972552,40.917338,-73.997447,0.4265270190962035,ELITE NIS OF BERGENFIELD (Nissan)|New Car Dealers|0.025236; McDonald's (McDonald's)|Limited-Service Restaurants|0.012686; V & R Autobody & Auto Glass|None|0.007629
340030032005,340030032005,45662,40.917338,-73.997447,0.2337,0.1452,164013.0,0.0344881728504625,40.956476125,-74.068844375,0.5329897259105006,Macy's (Macy's)|Department Stores|0.000703; Finish Line (Finish Line)|Shoe Stores|0.000703; Qitopia Massage Studio|Other Personal Care Services|0.000683
340030033001,340030033001,221798,40.937027107,-73.995968232,0.6317,0.3925,307818.0,0.0829644155977199,40.907703,-74.030779,0.462582594888081,Hackensack Commons|Malls|0.010083; The Shops At Riverside (Simon mall)|Malls|0.005781; Wentworth Gallery In|Art Dealers|0.002971
