origin_geoid,GEOID,closest_pcs_id,closest_pcs_lat,closest_pcs_lon,closest_pcs_dist_km,closest_pcs_dist_mi,most_visited_pcs_id,most_visited_pcs_visit_pct,most_visited_pcs_lat,most_visited_pcs_lon,visit_pct_total,top_pois_at_most_visited_pcs
60170307011,60170307011,94923,38.672517,-121.064742,6.0826,3.7796,159974.0,0.0428147775273029,38.650291,-121.118552,0.2625407629511282,Palladio At Broadstone|Malls|0.022379; CycleBar (CycleBar)|Fitness and Recreational Sports Centers|0.002703; MrBeast Burger (MrBeast Burger)|Limited-Service Restaurants|0.002457
60170307012,60170307012,94923,38.672517,-121.064742,7.9032,4.9108,159974.0,0.0234194213637399,38.650291,-121.118552,0.3062569691737707,Palladio At Broadstone|Malls|0.013711; CycleBar (CycleBar)|Fitness and Recreational Sports Centers|0.001424; MrBeast Burger (MrBeast Burger)|Limited-Service Restaurants|0.001319
60170307013,60170307013,94923,38.672517,-121.064742,7.1574,4.4474,,,,,,
60170307061,60170307061,313095,38.656419052304,-121.07076297884,0.7347,0.4565,25501.0,0.0527816154304716,38.552483,-121.4487,0.3689684107032369,Harper Richart W MD Pulmonary|Offices of Physicians (except Mental Health Specialists)|0.000364; Burrall Barbara MD|Offices of Physicians (except Mental Health Specialists)|0.000325; Kurzrock Eric A MD|Offices of Physicians (except Mental Health Specialists)|0.000325
60170307062,60170307062,313095,38.656419052304,-121.07076297884,2.4896,1.547,228385.0,0.0776726978984501,38.65539,-121.07021,0.3585525043719627,Village Square Center|Malls|0.038400; Shell Oil (Shell Oil)|Gasoline Stations with Convenience Stores|0.003691; Shell Oil (Shell Oil)|Gasoline Stations with Convenience Stores|0.003691
60170307063,60170307063,94923,38.672517,-121.064742,1.6279,1.0115,,,,,,
60170307064,60170307064,94923,38.672517,-121.064742,1.924,1.1955,,,,,,
60170307091,60170307091,94923,38.672517,-121.064742,3.503,2.1766,159974.0,0.0321966747980138,38.650291,-121.118552,0.2662972958945347,Palladio At Broadstone|Malls|0.017673; CycleBar (CycleBar)|Fitness and Recreational Sports Centers|0.002400; MrBeast Burger (MrBeast Burger)|Limited-Service Restaurants|0.002236
60170307092,60170307092,94923,38.672517,-121.064742,3.4534,2.1458,228385.0,0.0329749296152299,38.65539,-121.07021,0.2612843544711087,Village Square Center|Malls|0.013246; Shell Oil (Shell Oil)|Gasoline Stations with Convenience Stores|0.001298; Shell Oil (Shell Oil)|Gasoline Stations with Convenience Stores|0.001298
60170307093,60170307093,94923,38.672517,-121.064742,3.6794,2.2863,,,,,,
