origin_geoid,GEOID,closest_pcs_id,closest_pcs_lat,closest_pcs_lon,closest_pcs_dist_km,closest_pcs_dist_mi,most_visited_pcs_id,most_visited_pcs_visit_pct,most_visited_pcs_lat,most_visited_pcs_lon,visit_pct_total,top_pois_at_most_visited_pcs
60730001001,60730001001,225827,32.7581771193393,-117.183389699505,0.4273,0.2655,113325.0,0.1014528911065453,32.847417,-117.275211,0.4682271793366598,Starship Kitchen & Bath|None|0.001871; David Flynn Johnston Premier San Diego Agent|Offices of Real Estate Agents and Brokers|0.001871; Keri and Patrick Platinum California Realty|Offices of Real Estate Agents and Brokers|0.001871
60730001002,60730001002,225827,32.7581771193393,-117.183389699505,0.8303,0.5159,161207.0,0.0279409061444838,32.71499,-117.167939,0.4436247714321649,Signature Notary San Diego|Offices of Notaries|0.000252; My San Diego Mobile Notary Service|Offices of Notaries|0.000106; 5 Star Columbia Garage|Parking Lots and Garages|0.000106
60730002011,60730002011,178623,32.760045,-117.175581,0.581,0.361,228731.0,0.0546360193016136,32.75023,-117.16767,0.3097021163746634,"Mission Hills Farmer's Market|Meat Markets|0.012672; Mission Hills Farmer's Market|Meat Markets|0.012672; Mission Hills Physical Therapy|Offices of Physical, Occupational and Speech Therapists, and Audiologists|0.001937"
60730002012,60730002012,159711,32.753927,-117.167583,0.3604,0.2239,,,,,,
60730002021,60730002021,183418,32.741914,-117.184368,0.6936,0.431,113325.0,0.0527090743651253,32.847417,-117.275211,0.4017040284556208,Starship Kitchen & Bath|None|0.001952; David Flynn Johnston Premier San Diego Agent|Offices of Real Estate Agents and Brokers|0.001952; Keri and Patrick Platinum California Realty|Offices of Real Estate Agents and Brokers|0.001952
60730002022,60730002022,183418,32.741914,-117.184368,0.794,0.4933,189368.0,0.0522993688007213,32.822133,-117.226493,0.308566275924256,Morena Plaza|Malls|0.006763; Isabel Val OD|Offices of Optometrists|0.005086; Costco Optical (Costco Optical)|Optical Goods Stores|0.005086
60730002023,60730002023,228731,32.75023,-117.16767,0.5721,0.3555,228731.0,0.0257030467394756,32.75023,-117.16767,0.4550441007598524,Vons Pharmacy (Vons Pharmacy)|Pharmacies and Drug Stores|0.002113; Mission Hills Farmer's Market|Meat Markets|0.001991; Mission Hills Farmer's Market|Meat Markets|0.001991
60730002024,60730002024,228731,32.75023,-117.16767,0.7604,0.4725,,,,,,
60730003011,60730003011,228731,32.75023,-117.16767,0.333,0.2069,,,,,,
60730003012,60730003012,70567,32.7476731,-117.1581012,0.4472,0.2779,,,,,,
60730003013,60730003013,228731,32.75023,-117.16767,0.7577,0.4708,,,,,,
60730003021,60730003021,70567,32.7476731,-117.1581012,0.348,0.2162,,,,,,
60730003022,60730003022,70567,32.7476731,-117.1581012,0.6765,0.4203,,,,,,
60730004001,60730004001,70567,32.7476731,-117.1581012,0.3138,0.195,70567.0,0.0183619637430062,32.7476731,-117.1581012,0.3334930738164868,Massage and Skin Care by Aria|Other Personal Care Services|0.000704; Platinum Realty Group|Offices of Real Estate Agents and Brokers|0.000704; Landmark Theaters (Landmark Theaters)|Motion Picture Theaters (except Drive-Ins)|0.000659
60730004002,60730004002,176733,32.754198,-117.167602,0.1323,0.0822,70567.0,0.053787735721801,32.7476731,-117.1581012,0.4592359780937222,Massage and Skin Care by Aria|Other Personal Care Services|0.001686; Platinum Realty Group|Offices of Real Estate Agents and Brokers|0.001686; Landmark Theaters (Landmark Theaters)|Motion Picture Theaters (except Drive-Ins)|0.001632
