origin_geoid,GEOID,closest_pcs_id,closest_pcs_lat,closest_pcs_lon,closest_pcs_dist_km,closest_pcs_dist_mi,most_visited_pcs_id,most_visited_pcs_visit_pct,most_visited_pcs_lat,most_visited_pcs_lon,visit_pct_total,top_pois_at_most_visited_pcs
60014001001,60014001001,112860,37.857507,-122.24184,1.5534,0.9652,112860.0,0.0677787339773661,37.857507,-122.24184,0.5102913676745585,East Bay Provisions|Drinking Places (Alcoholic Beverages)|0.009169; Taste of the Nation East Bay|Full-Service Restaurants|0.008865; Paragon Restaurant & Bar|Full-Service Restaurants|0.008742
60014001002,60014001002,112860,37.857507,-122.24184,1.6001,0.9943,,,,,,
60014002001,60014002001,112860,37.857507,-122.24184,1.0599,0.6586,206135.0,0.033215019615169,37.827289,-122.209039,0.3564543246777508,CVS (CVS)|Pharmacies and Drug Stores|0.001065; CVS Pharmacy (CVS Pharmacy)|Pharmacies and Drug Stores|0.001065; Lucky Supermarkets (Lucky Supermarkets)|Supermarkets and Other Grocery (except Convenience) Stores|0.000673
60014002002,60014002002,197174,37.855787,-122.25847,1.249,0.7761,218481.0,0.1777734476487399,37.820585,-122.264939,0.4307612366848532,Anthony E Allen M D|Offices of Physicians (except Mental Health Specialists)|0.002923; Nayvin Gordon MD|Offices of Physicians (except Mental Health Specialists)|0.002923; Seema P Shah MD|Offices of Physicians (except Mental Health Specialists)|0.002923
60014003001,60014003001,228688,37.8375988,-122.2616657,1.3443,0.8353,113337.0,0.0374854364013981,37.787828,-122.408731,0.2714654779393141,Deli Belli|Limited-Service Restaurants|0.000203; Bullseye Bagels|Snack and Nonalcoholic Beverage Bars|0.000203; Kelly Han ND|Offices of All Other Miscellaneous Health Practitioners|0.000203
60014003002,60014003002,228688,37.8375988,-122.2616657,0.6128,0.3808,228688.0,0.0433540688079218,37.8375988,-122.2616657,0.56967119461724,Temescal Plaza|Malls|0.001815; Red Sea Restaurant and Bar|Full-Service Restaurants|0.001117; East Bay Athletic Club|Fitness and Recreational Sports Centers|0.001016
60014003003,60014003003,228688,37.8375988,-122.2616657,0.3531,0.2194,228688.0,0.0726860129280704,37.8375988,-122.2616657,0.5464860404346032,"Valentine Salon & Spa|Hair, Nail, and Skin Care Services|0.004349; Temescal Plaza|Malls|0.004298; Peet's Coffee and Tea (Peet's Coffee and Tea)|Snack and Nonalcoholic Beverage Bars|0.002097"
60014003004,60014003004,228688,37.8375988,-122.2616657,0.726,0.4511,315689.0,0.0706748367546694,37.789886,-122.406898,0.4772797361258229,SP Parking|Parking Lots and Garages|0.000282; Barclay Kenyon MFT|Offices of Mental Health Practitioners (except Physicians)|0.000282; Neurenics Psychology|Offices of Mental Health Practitioners (except Physicians)|0.000282
60014004001,60014004001,197174,37.855787,-122.25847,0.704,0.4375,228805.0,0.1107675393389679,37.85553,-122.26077,0.3808149522435237,Scott R Phillips|Offices of Chiropractors|0.009242; Hochstein Ted DDS|Offices of Dentists|0.009242; Teng Shine Nee MD|Offices of Physicians (except Mental Health Specialists)|0.009242
60014004002,60014004002,228688,37.8375988,-122.2616657,0.8374,0.5204,223487.0,0.0503521435459832,37.786471,-122.400421,0.5047196002220988,American Giant|None|0.001724; Img|Full-Service Restaurants|0.001724; Public Knowledge Library|Libraries and Archives|0.001724
60014004003,60014004003,197174,37.855787,-122.25847,0.6302,0.3916,197174.0,0.3123712157235695,37.855787,-122.25847,0.5454509430971628,Robert A Eppley MD|Offices of Physicians (except Mental Health Specialists)|0.004081; Huilan Cheng MD|Offices of Physicians (except Mental Health Specialists)|0.004081; Chad A Roghair MD|Offices of Physicians (except Mental Health Specialists)|0.004081
60014005001,60014005001,228805,37.85553,-122.26077,0.7679,0.4772,197175.0,0.0445253693240478,37.856127,-122.258563,0.458553113209318,Christina Kwan MD|Offices of Physicians (except Mental Health Specialists)|0.001389; Ampco Parking|Parking Lots and Garages|0.001389; D Eric Collins MD|Offices of Physicians (except Mental Health Specialists)|0.001389
60014005002,60014005002,228688,37.8375988,-122.2616657,1.098,0.6823,199169.0,0.0269611258185871,37.812626,-122.26786,0.3757140866657378,Oakland Art Gallery|Art Dealers|0.003205; Pinx Pop Up Kitchen|Caterers|0.001602; Mollie Rose Baking Company|Limited-Service Restaurants|0.001602
60014005003,60014005003,228805,37.85553,-122.26077,0.8327,0.5174,21358.0,0.0835083868944975,37.78881,-122.401,0.6379683335946074,Tess Brigham MFT|Offices of Mental Health Practitioners (except Physicians)|0.000486; Brittany Olsen MFT|Offices of Mental Health Practitioners (except Physicians)|0.000486; Maria Burch LCSW|Offices of Mental Health Practitioners (except Physicians)|0.000486
60014006001,60014006001,228688,37.8375988,-122.2616657,0.6815,0.4235,196235.0,0.1376386808224234,37.866473,-122.268936,0.6455850105299724,Avis Rent A Car (Avis Rent A Car)|Passenger Car Rental|0.009662; Yoga To The People|Fitness and Recreational Sports Centers|0.005927; Analytix Consulting|None|0.005927
60014006002,60014006002,228688,37.8375988,-122.2616657,0.4433,0.2755,159479.0,0.0570643559125013,37.82606,-122.253697,0.3153334037831554,Cato's Ale House|Full-Service Restaurants|0.001902; Sahara Moroccan Home Decor|Furniture Stores|0.001902; Flex Circuit Gym|Fitness and Recreational Sports Centers|0.001902
