origin_geoid,GEOID,closest_pcs_id,closest_pcs_lat,closest_pcs_lon,closest_pcs_dist_km,closest_pcs_dist_mi,most_visited_pcs_id,most_visited_pcs_visit_pct,most_visited_pcs_lat,most_visited_pcs_lon,visit_pct_total,top_pois_at_most_visited_pcs
110010001011,110010001011,113651,38.9058204,-77.0512085,0.4282,0.2661,,,,,,
110010001021,110010001021,151272,38.9160565,-77.067444,0.5707,0.3546,,,,,,
110010001022,110010001022,150512,38.904031,-77.061463,0.5697,0.354,,,,,,
110010001023,110010001023,57221,38.90178,-77.059732,0.3223,0.2003,,,,,,
110010002011,110010002011,154661,38.915985,-77.067573,1.0071,0.6258,279381.0,0.0414780520784933,38.90484,-77.06432,0.3741482781934177,Pandora (Pandora)|Jewelry Stores|0.000773; Warby Parker (Warby Parker)|Optical Goods Stores|0.000773; Wawa (Wawa)|Convenience Stores|0.000773
110010002012,110010002012,154661,38.915985,-77.067573,0.9393,0.5837,,,,,,
110010002021,110010002021,154661,38.915985,-77.067573,0.3406,0.2116,279381.0,0.0441482995575756,38.90484,-77.06432,0.6350738942753789,Pandora (Pandora)|Jewelry Stores|0.001264; Warby Parker (Warby Parker)|Optical Goods Stores|0.001264; Wawa (Wawa)|Convenience Stores|0.001264
110010002022,110010002022,279381,38.90484,-77.06432,0.526,0.3268,279381.0,0.0539299414778932,38.90484,-77.06432,0.798588749194971,Pandora (Pandora)|Jewelry Stores|0.001045; Warby Parker (Warby Parker)|Optical Goods Stores|0.001045; Wawa (Wawa)|Convenience Stores|0.001045
110010002023,110010002023,279381,38.90484,-77.06432,0.2289,0.1422,279381.0,0.1737814911936131,38.90484,-77.06432,0.8501799496777892,Pandora (Pandora)|Jewelry Stores|0.003503; Warby Parker (Warby Parker)|Optical Goods Stores|0.003503; Wawa (Wawa)|Convenience Stores|0.003503
110010002024,110010002024,95452,38.89777246756461,-77.07149618195142,0.6678,0.415,279381.0,0.1298890806014296,38.90484,-77.06432,0.7943948730589105,Marine Layer (Marine Layer)|Family Clothing Stores|0.003081; Marine Layer (Marine Layer)|Family Clothing Stores|0.003081; Aritzia (Aritzia)|Women's Clothing Stores|0.003081
